Nazwa,Cena,Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony,VAT marża,Gwarancja dealerska (w cenie),Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,Autonomia
BMW Seria 3 330d,21 900,Prywatne,Tak,Tak,BMW,Seria 3,330d,E46 (1998-2007),2003,436 000 km,2 993 cm3,Diesel,204 KM,Manualna,Na tylne koła,5.0 l/100km,9 l/100km,Sedan,177 g/km,4,5,Czarny,Metalik,Szwajcaria,06 czerwiec 2003,WL7585R,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 328i Sport Line,77 600,Prywatne,Tak,Tak,BMW,Seria 3,328i Sport Line,F30/F31 (2012-2020),2016,92 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),,"8,30 l/100km",Sedan,,4,,Granatowy,Metalik,Stany Zjednoczone,styczeń 2016,SZO5EC5,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive Luxury Line,29 999,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive Luxury Line,E90/E91/E92/E93 (2005-2012),2012,288 000 km,1 995 cm3,Diesel,184 KM,Manualna,4x4 (stały),4.0 l/100km,6 l/100km,Kombi,129 g/km,5,5,Czarny,Perłowy,Austria,09 styczeń 2012,KN5472H,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 330d Touring M Sport,69 900,Prywatne,Tak,,BMW,Seria 3,330d Touring M Sport,F30/F31 (2012-2020),2013,189 800 km,2 993 cm3,Diesel,258 KM,Automatyczna,Na tylne koła,,"6,70 l/100km",Kombi,,5,,Inny kolor,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,58 500,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2010,209 000 km,2 996 cm3,Benzyna,218 KM,Automatyczna,Na tylne koła,,,Sedan,,4,,Szary,,Szwajcaria,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive M Sport Shadow sport,125 000,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive M Sport Shadow sport,G20/G21 (2019-),2019,105 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),,5 l/100km,Sedan,,5,5,Czarny,Perłowy,Polska,20 styczeń 2020,MPAKIET,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,,,,,,,,,,,,
BMW Seria 3,38 900,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2012,226 500 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,,,,Tak,Tak,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 330i xDrive Advantage,130 000,Prywatne,Tak,,BMW,Seria 3,330i xDrive Advantage,G20/G21 (2019-),2020,20 000 km,1 998 cm3,Benzyna,258 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,4,,Biały,,Stany Zjednoczone,,,Tak,,Używane,Wyświetl VIN,,,,,9 l/100km,,,,,,,,,,,,,,
BMW Seria 3,21 500,Prywatne,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2006,185 000 km,1 995 cm3,Benzyna,150 KM,Automatyczna,Na tylne koła,,10 l/100km,Kombi,,5,5,Czarny,,,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,36 900,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2011,243 414 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,5,5,Czarny,Metalik,Niemcy,12 grudzień 2011,SDSX,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 M340i xDrive mHEV sport,291 900,Prywatne,Tak,Tak,BMW,Seria 3,M340i xDrive mHEV sport,G20/G21 (2019-),2021,28 000 km,2 998 cm3,Benzyna,374 KM,Automatyczna,4x4 (stały),7.0 l/100km,13 l/100km,Kombi,217 g/km,5,5,Szary,Matowy,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,4 Stycznia 2026,200 000 km,,,,,,,,,,,,
BMW Seria 3 320d,11 000,Prywatne,Tak,,BMW,Seria 3,320d,E46 (1998-2007),2005,209 700 km,1 995 cm3,Diesel,150 KM,Manualna,,,7 l/100km,Kombi,,5,,Srebrny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,21 900,Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2000,219 000 km,2 793 cm3,Benzyna,193 KM,Manualna,Na tylne koła,,,Coupe,,2,5,Szary,,,,,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i,23 900,Prywatne,Tak,Tak,BMW,Seria 3,320i,E90/E91/E92/E93 (2005-2012),2005,132 000 km,1 995 cm3,Benzyna,150 KM,Manualna,Na tylne koła,5.0 l/100km,10 l/100km,Sedan,,4,5,Srebrny,,,19 maj 2005,Ezg4818C,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,73 900,Prywatne,Tak,,BMW,Seria 3,,F30/F31 (2012-2020),2013,272 124 km,1 995 cm3,Diesel,184 KM,Automatyczna,Na tylne koła,,,Sedan,,4,,Granatowy,,,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d DPF Touring,29 900,Prywatne,Tak,Tak,BMW,Seria 3,320d DPF Touring,E90/E91/E92/E93 (2005-2012),2009,263 000 km,1 995 cm3,Diesel,177 KM,Manualna,Na tylne koła,4.2 l/100km,"6,10 l/100km",Kombi,130 g/km,5,5,Szary,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive mHEV M Sport,264 200,Firma,,,BMW,Seria 3,320d xDrive mHEV M Sport,G20/G21 (2019-),2023,5 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,,Kombi,147 g/km,5,5,Szary,,Polska,,,,,Nowe,,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 318i Touring,23 000,Prywatne,Tak,Tak,BMW,Seria 3,318i Touring,E90/E91/E92/E93 (2005-2012),2008,185 950 km,1 995 cm3,Benzyna,143 KM,Manualna,Na tylne koła,5.3 l/100km,"8,10 l/100km",Kombi,147 g/km,5,5,Czarny,Metalik,Niemcy,05 wrzesień 2008,M AC8084,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,15 800,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2006,350 000 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Srebrny,,,24 luty 2006,GD455YT,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 330Ci,26 500,Prywatne,Tak,Tak,BMW,Seria 3,330Ci,E46 (1998-2007),2003,289 000 km,2 979 cm3,Benzyna+LPG,231 KM,Manualna,Na tylne koła,6.0 l/100km,12 l/100km,Coupe,,2,5,Zielony,Metalik,,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Sport Line,69 400,Prywatne,Tak,Tak,BMW,Seria 3,320d Sport Line,F30/F31 (2012-2020),2019,169 874 km,1 995 cm3,Diesel,190 KM,Manualna,Na tylne koła,4.0 l/100km,"5,40 l/100km",Kombi,119 g/km,5,5,Czarny,Metalik,Niemcy,06 czerwiec 2019,DSW7106C,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,,,,,,,,,,,,,,,,
BMW Seria 3 330d xDrive,65 000,Prywatne,Tak,Tak,BMW,Seria 3,330d xDrive,F30/F31 (2012-2020),2013,215 000 km,2 993 cm3,Diesel,258 KM,Automatyczna,4x4 (stały),5.0 l/100km,7 l/100km,Kombi,157 g/km,5,5,Granatowy,Metalik,,18 lipiec 2013,SB653CT,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,106 600,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2013,194 500 km,2 979 cm3,Benzyna,306 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Niebieski,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring M Sport,63 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Touring M Sport,F30/F31 (2012-2020),2017,264 500 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na tylne koła,4.6 l/100km,"5,30 l/100km",Kombi,127 g/km,5,5,Szary,Metalik,Niemcy,19 wrzesień 2017,KPR29HS,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,16 800,Prywatne,Tak,,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2006,339 000 km,1 995 cm3,Benzyna,129 KM,Manualna,,,10 l/100km,Sedan,,5,5,Czarny,Metalik,,28 lipiec 2006,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 335d,55 900,Prywatne,Tak,Tak,BMW,Seria 3,335d,E90/E91/E92/E93 (2005-2012),2008,271 000 km,2 993 cm3,Diesel,286 KM,Automatyczna,Na tylne koła,5.0 l/100km,9 l/100km,Coupe,174 g/km,2,4,Czarny,Metalik,,20 listopad 2008,tbu16985,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318d Advantage,63 900,Prywatne,Tak,Tak,BMW,Seria 3,318d Advantage,F30/F31 (2012-2020),2019,196 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,Niemcy,03 lipiec 2019,PP7078S,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 330d mHEV M Sport sport,99 900,Firma,Tak,,BMW,Seria 3,330d mHEV M Sport sport,G20/G21 (2019-),2023,14 040 km,2 993 cm3,Diesel,286 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,Niemcy,kwiecień 2023,,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,,,,,Tak,,,,,,,,,
BMW Seria 3 318i Advantage,121 800,Firma,Tak,Tak,BMW,Seria 3,318i Advantage,G20/G21 (2019-),2020,50 000 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Biały,,Polska,08 kwiecień 2020,WE794YS,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,8 500,Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2003,191 000 km,2 494 cm3,Benzyna,192 KM,Automatyczna,,,,Kombi,,5,,Srebrny,,,05 maj 2003,BMW 325 kombi,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,19 900,Prywatne,Tak,Tak,BMW,Seria 3,,E36 (1990-1999),1994,144 930 km,1 796 cm3,Benzyna,140 KM,Automatyczna,Na tylne koła,,,Kompakt,,3,5,Srebrny,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i Touring,27 000,Prywatne,Tak,Tak,BMW,Seria 3,320i Touring,E90/E91/E92/E93 (2005-2012),2009,252 000 km,1 995 cm3,Benzyna,170 KM,Automatyczna,Na tylne koła,5.5 l/100km,"9,50 l/100km",Kombi,164 g/km,5,5,Srebrny,Metalik,Szwajcaria,sierpień 2009,SZO65X1,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,83 900,Prywatne,Tak,Tak,BMW,Seria 3,318i,F30/F31 (2012-2020),2018,120 000 km,1 499 cm3,Benzyna,136 KM,Automatyczna,Na tylne koła,4.0 l/100km,6 l/100km,Sedan,116 g/km,4,5,Biały,Metalik,Polska,07 sierpień 2018,KR 2LV79,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 318d Advantage,72 900,Prywatne,Tak,Tak,BMW,Seria 3,318d Advantage,F30/F31 (2012-2020),2018,83 700 km,1 995 cm3,Diesel,150 KM,Manualna,Na tylne koła,,5 l/100km,Kombi,,5,5,Czerwony,Metalik,Polska,09 styczeń 2019,CBY3657W,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3,69 900,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2013,115 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Biały,,Polska,04 wrzesień 2013,NE6622C,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 328i xDrive,68 500,Prywatne,Tak,Tak,BMW,Seria 3,328i xDrive,F30/F31 (2012-2020),2013,220 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),5.5 l/100km,"8,70 l/100km",Sedan,157 g/km,4,5,Niebieski,Metalik,,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3,73 900,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2013,169 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Biały,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318d Touring Luxury Line,58 000,Prywatne,,,BMW,Seria 3,318d Touring Luxury Line,F30/F31 (2012-2020),2014,207 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,,,,Kombi,,5,,Srebrny,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,
BMW Seria 3 325d Touring Modern Line,56 499,Prywatne,Tak,Tak,BMW,Seria 3,325d Touring Modern Line,F30/F31 (2012-2020),2013,267 172 km,1 995 cm3,Diesel,218 KM,Automatyczna,Na tylne koła,,"5,60 l/100km",Kombi,,5,5,Biały,Metalik,Holandia,15 listopad 2013,PB488B,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive M Sport sport,239 999,Firma,,Tak,BMW,Seria 3,320d xDrive M Sport sport,G20/G21 (2019-),2023,6 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,,Sedan,,5,,Biały,,,styczeń 1900,x,,,Nowe,,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d,59 950,Prywatne,Tak,Tak,BMW,Seria 3,320d,F30/F31 (2012-2020),2017,199 600 km,1 995 cm3,Diesel,190 KM,Manualna,Na tylne koła,,,Kombi,115 g/km,4,5,Srebrny,Metalik,Niemcy,26 lipiec 2017,STA6793C,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3,22 900,Prywatne,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2007,287 500 km,1 995 cm3,Diesel,150 KM,Manualna,,,,Sedan,,4,5,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,21 000,Firma,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2020,36 545 km,1 998 cm3,Hybryda,184 KM,Automatyczna,,,,Auta małe,,5,,Błękitny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i,27 000,Prywatne,Tak,Tak,BMW,Seria 3,320i,E90/E91/E92/E93 (2005-2012),2008,147 788 km,1 995 cm3,Benzyna,170 KM,Manualna,Na tylne koła,5.0 l/100km,8 l/100km,Sedan,148 g/km,4,5,Czarny,,Niemcy,08 październik 2008,WPR76109,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,14 950,Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2002,334 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,6 l/100km,Sedan,,4,,Szary,,Niemcy,,,,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 318d DPF Touring,24 900,Prywatne,Tak,Tak,BMW,Seria 3,318d DPF Touring,E90/E91/E92/E93 (2005-2012),2009,316 000 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,4.0 l/100km,"5,40 l/100km",Kombi,120 g/km,5,5,Szary,Metalik,Niemcy,14 październik 2009,PKE7GA5,Tak,Tak,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318d Sport Line,47 900,Prywatne,Tak,Tak,BMW,Seria 3,318d Sport Line,F30/F31 (2012-2020),2012,120 865 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,3.0 l/100km,5 l/100km,Sedan,119 g/km,5,,Czarny,,,03 wrzesień 2012,Xxxxxxx,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318d DPF Touring,28 900,Firma,Tak,Tak,BMW,Seria 3,318d DPF Touring,E90/E91/E92/E93 (2005-2012),2011,253 000 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,5.0 l/100km,8 l/100km,Kombi,169 g/km,5,5,Czarny,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,Tak,,,,,,,,
BMW Seria 3 318d DPF Touring Edition Sport,29 000,Prywatne,Tak,Tak,BMW,Seria 3,318d DPF Touring Edition Sport,E90/E91/E92/E93 (2005-2012),2011,184 000 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,4.0 l/100km,"5,40 l/100km",Kombi,120 g/km,5,5,Czarny,Metalik,Niemcy,31 sierpień 2011,FZA000,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 328i xDrive,58 500,Prywatne,Tak,Tak,BMW,Seria 3,328i xDrive,F30/F31 (2012-2020),2013,153 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (dołączany automatycznie),5.5 l/100km,"8,70 l/100km",Sedan,157 g/km,4,5,Szary,Metalik,Stany Zjednoczone,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 M340d xDrive mHEV sport,169 986,Prywatne,Tak,Tak,BMW,Seria 3,M340d xDrive mHEV sport,G20/G21 (2019-),2020,160 000 km,2 993 cm3,Diesel,340 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Niebieski,,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 318d Touring,69 999,Prywatne,Tak,,BMW,Seria 3,318d Touring,F30/F31 (2012-2020),2016,121 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,,,,Kombi,,5,5,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,59 900,Firma,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2009,139 500 km,2 996 cm3,Benzyna,306 KM,Automatyczna,Na tylne koła,,,Coupe,,2,4,Szary,Metalik,Polska,kwiecień 2009,,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 320i M Sport sport,129 999,Firma,Tak,,BMW,Seria 3,320i M Sport sport,G20/G21 (2019-),2020,63 000 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Niebieski,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 318d DPF Touring,24 300,Prywatne,Tak,,BMW,Seria 3,318d DPF Touring,E90/E91/E92/E93 (2005-2012),2010,273 000 km,1 995 cm3,Diesel,143 KM,Manualna,,,"5,40 l/100km",Kombi,,5,,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring xDrive Modern Line,55 900,Prywatne,Tak,,BMW,Seria 3,320d Touring xDrive Modern Line,F30/F31 (2012-2020),2013,239 312 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (stały),,"6,10 l/100km",Kombi,,5,,Szary,Metalik,Niemcy,,,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318i Business Edition sport,154 000,Firma,Tak,,BMW,Seria 3,318i Business Edition sport,G20/G21 (2019-),2022,4 332 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Biały,Metalik,Polska,24 październik 2022,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 320i,193 200,Firma,Tak,,BMW,Seria 3,320i,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,148 g/km,5,5,Szary,Metalik,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320i,6 500,Prywatne,Tak,Tak,BMW,Seria 3,320i,E46 (1998-2007),1998,297 397 km,1 991 cm3,Benzyna,150 KM,Manualna,Na tylne koła,6.0 l/100km,12 l/100km,Sedan,,4,5,Srebrny,,,02 czerwiec 1998,LKR 43753,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i xDrive M Sport,243 500,Firma,,,BMW,Seria 3,320i xDrive M Sport,G20/G21 (2019-),2023,1 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Szary,Metalik,Polska,,,,,Nowe,,Tak,,,,,,,Tak,Tak,,,36 miesięcy,,,,,,,
BMW Seria 3 318i Sport Line,139 000,Prywatne,Tak,Tak,BMW,Seria 3,318i Sport Line,G20/G21 (2019-),2022,27 500 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Biały,,Polska,,WW6657Y,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 318i Sport Line,69 999,Prywatne,Tak,Tak,BMW,Seria 3,318i Sport Line,F30/F31 (2012-2020),2017,115 000 km,1 499 cm3,Benzyna,136 KM,Automatyczna,Na tylne koła,4.0 l/100km,6 l/100km,Sedan,116 g/km,4,5,Biały,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Efficient Dynamics Luxury Line,64 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Efficient Dynamics Luxury Line,F30/F31 (2012-2020),2015,212 000 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,4.0 l/100km,5 l/100km,Sedan,120 g/km,5,,Granatowy,,,25 luty 2015,ERU,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,30 000,Prywatne,Tak,,BMW,Seria 3,,,2006,230 000 km,2 497 cm3,Benzyna,218 KM,Automatyczna,,,,Sedan,,4,,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,63 500,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2015,250 000 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Biały,,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,81 300,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2015,114 000 km,1 997 cm3,Benzyna,183 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Czerwony,Metalik,Stany Zjednoczone,15 wrzesień 2015,RT 56996,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i M Sport,193 100,Firma,,,BMW,Seria 3,318i M Sport,G20/G21 (2019-),2023,1 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,5 l/100km,7 l/100km,Sedan,,4,5,Czarny,Metalik,Polska,,,,,Nowe,,Tak,,,,,,,Tak,Tak,,,24 miesięcy,,,,,,,
BMW Seria 3,18 500,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2007,320 000 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,,Niemcy,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 325d,21 600,Prywatne,Tak,Tak,BMW,Seria 3,325d,E90/E91/E92/E93 (2005-2012),2006,467 000 km,2 993 cm3,Diesel,197 KM,Manualna,Na tylne koła,4.0 l/100km,7 l/100km,Kombi,155 g/km,5,5,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320 Ci,35 000,Prywatne,Tak,Tak,BMW,Seria 3,320 Ci,E46 (1998-2007),2004,217 500 km,2 171 cm3,Benzyna,170 KM,Manualna,Na tylne koła,,12 l/100km,Coupe,,2,5,Granatowy,Metalik,Belgia,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Advantage,84 900,Firma,Tak,Tak,BMW,Seria 3,320d Advantage,F30/F31 (2012-2020),2019,160 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na tylne koła,,4 l/100km,Kombi,,5,5,Inny kolor,Metalik,Polska,26 luty 2019,WE273VN,Tak,,Używane,Wyświetl VIN,Tak,,Tak,Tak,,,,Tak,Tak,,,3 miesięcy,,,,,,,
BMW Seria 3 318i,17 500,Prywatne,Tak,,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2006,280 000 km,1 995 cm3,Benzyna,129 KM,Manualna,,,10 l/100km,Sedan,,5,5,Srebrny,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Advantage,66 900,Prywatne,Tak,Tak,BMW,Seria 3,320d Advantage,F30/F31 (2012-2020),2015,150 000 km,1 995 cm3,Diesel,190 KM,Manualna,Na tylne koła,,,Kombi,,5,5,Szary,,Niemcy,11 sierpień 2015,KHMA599,,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
